DAY,CENTERLAT,CENTERLON,FCOUNT
1987-07-21,42.3,-83.8,1
1988-07-17,42.3,-83.8,4
1988-07-22,42.3,-83.8,1
1988-07-23,42.3,-83.8,5
1988-07-26,42.3,-83.8,19
1988-07-30,42.3,-83.8,4
1988-07-31,42.3,-83.8,1
1988-08-02,42.3,-83.8,17
1988-08-04,42.3,-83.8,3
1988-08-05,42.3,-83.8,11
1988-08-09,42.3,-83.8,9
1988-08-10,42.3,-83.8,9
1988-08-11,42.3,-83.8,1
1988-08-12,42.3,-83.8,2
1988-08-13,42.3,-83.8,1
1988-08-15,42.3,-83.8,56
1988-08-18,42.3,-83.8,8
1988-09-04,42.3,-83.8,3
1988-09-16,42.3,-83.8,1
1988-09-22,42.3,-83.8,1
1988-10-18,42.3,-83.8,1
1988-11-04,42.3,-83.8,1
1988-11-10,42.3,-83.8,1
1989-03-18,42.3,-83.8,2
1989-03-29,42.3,-83.8,1
1989-04-17,42.3,-83.8,2
1989-05-25,42.3,-83.8,12
1989-05-31,42.3,-83.8,38
1989-06-01,42.3,-83.8,14
1989-06-09,42.3,-83.8,22
1989-06-19,42.3,-83.8,2
1989-06-21,42.3,-83.8,4
1989-06-27,42.3,-83.8,4
1989-07-02,42.3,-83.8,2
1989-07-25,42.3,-83.8,51
1989-07-26,42.3,-83.8,156
1989-07-27,42.3,-83.8,9
1989-08-04,42.3,-83.8,1
1989-08-11,42.3,-83.8,10
1989-08-12,42.3,-83.8,13
1989-08-15,42.3,-83.8,5
1989-09-06,42.3,-83.8,1
1989-09-08,42.3,-83.8,1
1989-09-09,42.3,-83.8,1
1989-11-15,42.3,-83.8,1
1990-01-17,42.3,-83.8,2
1990-06-03,42.3,-83.8,9
1990-06-14,42.3,-83.8,1
1990-06-27,42.3,-83.8,5
1990-06-30,42.3,-83.8,7
1990-07-09,42.3,-83.8,4
1990-07-18,42.3,-83.8,1
1990-07-19,42.3,-83.8,4
1990-08-11,42.3,-83.8,12
1990-08-12,42.3,-83.8,1
1990-08-19,42.3,-83.8,10
1990-09-06,42.3,-83.8,17
1990-09-07,42.3,-83.8,133
1990-09-28,42.3,-83.8,1
1991-04-09,42.3,-83.8,1
1991-05-13,42.3,-83.8,2
1991-05-24,42.3,-83.8,3
1991-05-25,42.3,-83.8,21
1991-06-01,42.3,-83.8,3
1991-06-02,42.3,-83.8,2
1991-06-10,42.3,-83.8,2
1991-06-15,42.3,-83.8,5
1991-06-16,42.3,-83.8,4
1991-07-02,42.3,-83.8,3
1991-07-07,42.3,-83.8,5
1991-07-08,42.3,-83.8,19
1991-07-21,42.3,-83.8,2
1991-07-23,42.3,-83.8,8
1991-08-03,42.3,-83.8,1
1991-08-15,42.3,-83.8,4
1991-08-17,42.3,-83.8,4
1991-08-19,42.3,-83.8,2
1991-08-20,42.3,-83.8,1
1991-08-30,42.3,-83.8,107
1991-09-03,42.3,-83.8,52
1992-02-15,42.3,-83.8,3
1992-04-16,42.3,-83.8,2
1992-04-21,42.3,-83.8,1
1992-04-24,42.3,-83.8,1
1992-05-17,42.3,-83.8,1
1992-05-22,42.3,-83.8,1
1992-06-18,42.3,-83.8,39
1992-06-26,42.3,-83.8,1
1992-07-03,42.3,-83.8,1
1992-07-04,42.3,-83.8,3
1992-07-05,42.3,-83.8,1
1992-07-14,42.3,-83.8,5
1992-07-16,42.3,-83.8,1
1992-07-31,42.3,-83.8,1
1992-08-11,42.3,-83.8,2
1992-08-27,42.3,-83.8,1
1992-09-03,42.3,-83.8,2
1992-09-06,42.3,-83.8,1
1992-09-07,42.3,-83.8,5
1992-09-10,42.3,-83.8,1
1992-09-15,42.3,-83.8,27
1992-09-16,42.3,-83.8,14
1992-09-18,42.3,-83.8,1
1992-10-09,42.3,-83.8,4
1992-10-14,42.3,-83.8,2
1992-10-15,42.3,-83.8,8
1992-10-16,42.3,-83.8,1
