DAY,CENTERLAT,CENTERLON,FCOUNT
1987-05-29,45.4,-74,1
1987-06-08,45.4,-74,2
1987-06-30,45.4,-74,1
1987-07-08,45.4,-74,1
1987-07-10,45.4,-74,2
1987-07-13,45.4,-74,1
1987-07-14,45.4,-74,11
1987-07-18,45.4,-74,25
1987-07-24,45.4,-74,1
1987-07-26,45.4,-74,4
1987-08-20,45.4,-74,1
1988-06-22,45.4,-74,1
1988-06-23,45.4,-74,8
1988-06-25,45.4,-74,1
1988-07-26,45.4,-74,1
1988-07-30,45.4,-74,2
1988-08-05,45.4,-74,2
1988-08-06,45.4,-74,9
1988-08-13,45.4,-74,1
1988-08-14,45.4,-74,3
1988-08-25,45.4,-74,2
1988-08-28,45.4,-74,1
1988-09-14,45.4,-74,1
1988-09-20,45.4,-74,2
1989-03-28,45.4,-74,2
1989-08-06,45.4,-74,1
1989-08-21,45.4,-74,9
1990-06-18,45.4,-74,5
1990-06-24,45.4,-74,1
1990-07-20,45.4,-74,1
1990-08-27,45.4,-74,1
1990-09-29,45.4,-74,1
1991-04-10,45.4,-74,1
1991-06-12,45.4,-74,1
1991-06-27,45.4,-74,4
1991-06-28,45.4,-74,7
1991-07-06,45.4,-74,2
1991-08-01,45.4,-74,3
1991-08-30,45.4,-74,6
1991-09-26,45.4,-74,1
1992-06-19,45.4,-74,2
1992-08-04,45.4,-74,2
1992-09-10,45.4,-74,1
1992-10-10,45.4,-74,1
1993-06-16,45.4,-74,5
1993-06-28,45.4,-74,6
1993-07-20,45.4,-74,1
1993-07-27,45.4,-74,4
1993-08-11,45.4,-74,1
1993-08-12,45.4,-74,1
1993-08-14,45.4,-74,1
1993-08-25,45.4,-74,1
1993-08-27,45.4,-74,1
1993-08-31,45.4,-74,15
1994-04-27,45.4,-74,2
1994-06-12,45.4,-74,29
1994-06-17,45.4,-74,1
1994-06-19,45.4,-74,3
1994-06-29,45.4,-74,37
1994-07-02,45.4,-74,36
1994-07-09,45.4,-74,11
1994-07-19,45.4,-74,2
1994-07-21,45.4,-74,32
1994-07-22,45.4,-74,1
1994-07-25,45.4,-74,1
