DAY,CENTERLAT,CENTERLON,FCOUNT
1987-07-27,42.1,-83.9,1
1987-08-02,42.1,-83.9,1
1988-07-17,42.1,-83.9,1
1988-07-18,42.1,-83.9,1
1988-07-23,42.1,-83.9,5
1988-07-25,42.1,-83.9,11
1988-07-26,42.1,-83.9,1
1988-07-30,42.1,-83.9,5
1988-07-31,42.1,-83.9,1
1988-08-04,42.1,-83.9,3
1988-08-05,42.1,-83.9,18
1988-08-10,42.1,-83.9,5
1988-08-11,42.1,-83.9,5
1988-08-12,42.1,-83.9,1
1988-08-15,42.1,-83.9,1
1988-08-18,42.1,-83.9,26
1988-09-04,42.1,-83.9,7
1988-09-12,42.1,-83.9,2
1988-09-23,42.1,-83.9,5
1988-10-17,42.1,-83.9,2
1988-11-04,42.1,-83.9,2
1988-11-10,42.1,-83.9,1
1989-03-18,42.1,-83.9,4
1989-04-17,42.1,-83.9,2
1989-04-25,42.1,-83.9,19
1989-05-25,42.1,-83.9,14
1989-05-30,42.1,-83.9,1
1989-05-31,42.1,-83.9,91
1989-06-01,42.1,-83.9,4
1989-06-03,42.1,-83.9,3
1989-06-09,42.1,-83.9,5
1989-06-19,42.1,-83.9,5
1989-06-22,42.1,-83.9,4
1989-06-26,42.1,-83.9,2
1989-06-27,42.1,-83.9,6
1989-07-02,42.1,-83.9,8
1989-07-20,42.1,-83.9,3
1989-07-25,42.1,-83.9,230
1989-07-26,42.1,-83.9,5
1989-07-27,42.1,-83.9,13
1989-08-04,42.1,-83.9,9
1989-08-11,42.1,-83.9,15
1989-08-12,42.1,-83.9,8
1989-08-15,42.1,-83.9,5
1989-09-09,42.1,-83.9,3
1989-11-15,42.1,-83.9,2
1990-06-03,42.1,-83.9,11
1990-06-14,42.1,-83.9,12
1990-08-11,42.1,-83.9,4
1990-08-19,42.1,-83.9,14
1990-08-28,42.1,-83.9,10
1990-09-07,42.1,-83.9,38
1990-09-14,42.1,-83.9,1
1991-04-09,42.1,-83.9,10
1991-04-24,42.1,-83.9,1
1991-05-01,42.1,-83.9,1
1991-05-13,42.1,-83.9,17
1991-05-17,42.1,-83.9,2
1991-05-25,42.1,-83.9,6
1991-05-31,42.1,-83.9,1
1991-06-01,42.1,-83.9,2
1991-06-02,42.1,-83.9,3
1991-06-10,42.1,-83.9,4
1991-06-15,42.1,-83.9,37
1991-06-16,42.1,-83.9,1
1991-07-07,42.1,-83.9,1
1991-07-08,42.1,-83.9,21
1991-07-29,42.1,-83.9,1
1991-08-03,42.1,-83.9,1
1991-08-15,42.1,-83.9,1
1991-08-17,42.1,-83.9,1
1991-08-30,42.1,-83.9,7
1991-09-03,42.1,-83.9,1
1991-09-04,42.1,-83.9,1
1991-09-09,42.1,-83.9,1
1991-09-10,42.1,-83.9,1
1991-10-09,42.1,-83.9,2
1991-10-24,42.1,-83.9,6
1992-02-19,42.1,-83.9,2
1992-04-16,42.1,-83.9,2
1992-04-21,42.1,-83.9,1
1992-04-23,42.1,-83.9,1
1992-04-24,42.1,-83.9,5
1992-05-23,42.1,-83.9,1
1992-06-05,42.1,-83.9,1
1992-06-18,42.1,-83.9,69
1992-06-26,42.1,-83.9,2
1992-07-03,42.1,-83.9,3
1992-07-05,42.1,-83.9,8
1992-07-08,42.1,-83.9,2
1992-07-14,42.1,-83.9,4
1992-07-16,42.1,-83.9,5
1992-07-31,42.1,-83.9,1
1992-08-26,42.1,-83.9,15
1992-08-27,42.1,-83.9,4
1992-09-07,42.1,-83.9,3
1992-09-09,42.1,-83.9,1
1992-09-10,42.1,-83.9,6
1992-09-15,42.1,-83.9,56
1992-09-16,42.1,-83.9,4
1992-10-09,42.1,-83.9,3
1992-10-14,42.1,-83.9,6
1992-10-15,42.1,-83.9,15
1992-11-22,42.1,-83.9,2
1993-05-04,42.1,-83.9,2
1993-06-07,42.1,-83.9,1
1993-06-08,42.1,-83.9,3
1993-06-09,42.1,-83.9,4
1993-06-14,42.1,-83.9,1
1993-06-19,42.1,-83.9,2
1993-06-21,42.1,-83.9,1
1993-06-25,42.1,-83.9,1
1993-07-09,42.1,-83.9,51
1993-07-11,42.1,-83.9,2
1993-07-25,42.1,-83.9,42
1993-07-26,42.1,-83.9,2
1993-07-28,42.1,-83.9,4
1993-08-24,42.1,-83.9,3
1993-08-30,42.1,-83.9,3
1993-09-10,42.1,-83.9,2
1993-09-12,42.1,-83.9,6
1993-10-01,42.1,-83.9,5
1994-03-21,42.1,-83.9,2
1994-03-24,42.1,-83.9,1
1994-04-13,42.1,-83.9,2
1994-04-15,42.1,-83.9,5
1994-04-26,42.1,-83.9,1
1994-04-27,42.1,-83.9,3
1994-06-13,42.1,-83.9,83
1994-06-14,42.1,-83.9,9
1994-06-20,42.1,-83.9,33
1994-06-21,42.1,-83.9,2
1994-06-24,42.1,-83.9,9
1994-06-26,42.1,-83.9,3
1994-06-29,42.1,-83.9,2
1994-07-05,42.1,-83.9,3
1994-07-06,42.1,-83.9,40
1994-07-07,42.1,-83.9,8
1994-07-13,42.1,-83.9,3
1994-07-20,42.1,-83.9,7
1994-07-22,42.1,-83.9,1
1994-07-29,42.1,-83.9,2
1994-08-02,42.1,-83.9,1
