DAY,CENTERLAT,CENTERLON,FCOUNT
1987-05-12,42.2,-83.8,1
1987-05-14,42.2,-83.6,1
1987-06-02,42.4,-83.7,1
1987-06-16,42.4,-83.8,1
1987-06-21,42.3,-83.6,1
1987-06-21,42.2,-83.8,1
1987-06-21,42.4,-83.7,1
1987-06-29,42.1,-83.6,1
1987-07-06,42.2,-83.8,1
1987-07-06,42.3,-83.9,1
1987-07-15,42.2,-83.7,1
1987-07-15,42.1,-83.7,1
1987-07-21,42.2,-83.9,1
1987-07-21,42.3,-83.8,1
1987-07-21,42.2,-83.6,1
1987-07-24,42.2,-83.7,3
1987-07-24,42.2,-83.9,1
1987-07-25,42.2,-83.8,1
1987-07-25,42.2,-83.7,1
1987-07-26,42.2,-83.7,1
1987-07-26,42.3,-83.9,2
1987-07-27,42.1,-83.9,1
1987-07-30,42.1,-83.6,1
1987-07-30,42.3,-83.6,1
1987-07-30,42.1,-83.8,1
1987-08-02,42.1,-83.9,1
1987-08-02,42.1,-83.8,1
1987-08-02,42.4,-83.8,1
1987-08-17,42.4,-83.8,1
1987-08-28,42.1,-83.8,1
1987-09-11,42.1,-83.6,1
1987-09-15,42.1,-83.7,1
1987-09-16,42.3,-83.6,1
1988-04-03,42.2,-83.7,1
1988-04-03,42.3,-83.9,1
1988-05-16,42.2,-83.8,1
1988-06-23,42.1,-83.6,5
1988-06-23,42.2,-83.7,2
1988-06-23,42.2,-83.6,2
1988-06-23,42.3,-83.6,1
1988-06-23,42.2,-83.9,8
1988-06-23,42.2,-83.8,9
1988-06-23,42.3,-83.9,5
1988-06-23,42.1,-83.7,5
1988-07-16,42.1,-83.6,1
1988-07-16,42.2,-83.6,1
1988-07-16,42.3,-83.7,2
1988-07-17,42.2,-83.6,3
1988-07-17,42.3,-83.7,2
1988-07-17,42.4,-83.7,2
1988-07-17,42.3,-83.9,2
1988-07-17,42.3,-83.8,4
1988-07-17,42.2,-83.8,1
1988-07-17,42.1,-83.9,1
1988-07-18,42.1,-83.9,1
1988-07-18,42.2,-83.8,1
1988-07-22,42.4,-83.7,2
1988-07-22,42.2,-83.8,2
1988-07-22,42.4,-83.9,1
1988-07-22,42.1,-83.8,5
1988-07-22,42.2,-83.7,2
1988-07-22,42.3,-83.8,1
1988-07-23,42.2,-83.8,3
1988-07-23,42.4,-83.8,5
1988-07-23,42.1,-83.8,8
1988-07-23,42.3,-83.8,5
1988-07-23,42.2,-83.6,10
1988-07-23,42.1,-83.7,12
1988-07-23,42.4,-83.9,6
1988-07-23,42.3,-83.6,1
1988-07-23,42.3,-83.7,4
1988-07-23,42.3,-83.9,7
1988-07-23,42.1,-83.6,6
1988-07-23,42.2,-83.9,5
1988-07-23,42.2,-83.7,7
1988-07-23,42.1,-83.9,5
1988-07-25,42.3,-83.9,8
1988-07-25,42.3,-83.7,1
1988-07-25,42.2,-83.9,18
1988-07-25,42.2,-83.6,1
1988-07-25,42.1,-83.9,11
1988-07-25,42.2,-83.8,4
1988-07-25,42.1,-83.8,4
1988-07-26,42.3,-83.8,19
1988-07-26,42.4,-83.9,2
1988-07-26,42.1,-83.8,3
1988-07-26,42.2,-83.9,9
1988-07-26,42.4,-83.8,4
1988-07-26,42.3,-83.9,13
1988-07-26,42.2,-83.7,1
1988-07-26,42.1,-83.9,1
1988-07-26,42.2,-83.8,13
1988-07-28,42.3,-83.9,1
1988-07-28,42.4,-83.9,3
