DAY,CENTERLAT,CENTERLON,FCOUNT
1987-04-23,45.4,-73.8,1
1987-05-23,45.5,-73.6,1
1987-05-28,45.7,-73.5,1
1987-05-28,45.5,-73.8,4
1987-05-28,45.5,-73.9,1
1987-05-28,45.5,-73.5,2
1987-05-28,45.4,-73.6,2
1987-05-28,45.5,-73.6,3
1987-05-28,45.6,-73.7,2
1987-05-28,45.5,-73.7,2
1987-05-28,45.4,-73.5,2
1987-05-28,45.4,-73.7,4
1987-05-29,45.4,-73.7,2
1987-05-29,45.4,-73.6,1
1987-05-29,45.7,-73.5,2
1987-05-29,45.4,-73.5,2
1987-05-29,45.5,-73.8,1
1987-05-29,45.4,-73.9,4
1987-05-29,45.6,-73.6,1
1987-05-29,45.6,-73.6,1
1987-05-29,45.5,-73.5,1
1987-05-29,45.5,-73.9,1
1987-05-29,45.5,-73.6,3
1987-05-29,45.4,-74.0,1
1987-05-29,45.5,-73.7,1
1987-05-30,45.5,-73.5,2
1987-05-30,45.7,-73.5,1
1987-05-30,45.4,-73.6,8
1987-05-30,45.5,-73.8,1
1987-05-30,45.4,-73.7,2
1987-05-30,45.4,-73.5,1
1987-05-30,45.5,-73.6,1
1987-05-31,45.6,-73.5,1
1987-05-31,45.5,-73.9,1
1987-06-02,45.4,-73.9,1
1987-06-08,45.6,-73.5,4
1987-06-08,45.6,-73.7,4
1987-06-08,45.4,-74.0,2
1987-06-08,45.5,-73.9,8
1987-06-08,45.7,-73.5,5
1987-06-08,45.5,-73.6,7
1987-06-08,45.6,-73.6,6
1987-06-08,45.4,-73.9,1
1987-06-08,45.4,-73.6,1
1987-06-08,45.6,-73.6,6
1987-06-08,45.4,-73.8,1
1987-06-08,45.5,-73.7,3
1987-06-08,45.4,-73.5,2
1987-06-09,45.5,-73.5,1
1987-06-09,45.6,-73.7,2
1987-06-09,45.7,-73.5,1
1987-06-09,45.5,-73.8,1
1987-06-16,45.4,-73.6,2
1987-06-16,45.6,-73.7,1
1987-06-16,45.5,-73.8,3
1987-06-16,45.5,-73.7,1
1987-06-16,45.4,-73.5,1
1987-06-16,45.5,-73.6,4
1987-06-16,45.6,-73.5,1
1987-06-16,45.5,-73.5,1
1987-06-27,45.6,-73.7,1
1987-06-28,45.5,-73.8,2
1987-06-28,45.4,-73.5,4
1987-06-28,45.5,-73.6,2
1987-06-28,45.5,-73.7,2
1987-06-30,45.4,-74.0,1
1987-07-04,45.7,-73.5,2
1987-07-08,45.4,-74.0,1
1987-07-10,45.4,-73.9,1
1987-07-10,45.4,-73.6,1
1987-07-10,45.6,-73.5,1
1987-07-10,45.4,-74.0,2
1987-07-11,45.5,-73.7,4
1987-07-11,45.4,-73.9,1
1987-07-11,45.4,-73.6,13
1987-07-11,45.6,-73.6,1
1987-07-11,45.5,-73.5,8
1987-07-11,45.5,-73.8,2
1987-07-11,45.6,-73.6,1
1987-07-11,45.4,-73.8,2
1987-07-11,45.4,-73.5,16
1987-07-11,45.5,-73.6,17
1987-07-11,45.4,-73.7,9
1987-07-11,45.6,-73.5,4
1987-07-11,45.6,-73.7,2
1987-07-12,45.5,-73.5,1
1987-07-13,45.5,-73.8,3
1987-07-13,45.4,-73.5,2
1987-07-13,45.4,-74.0,1
1987-07-13,45.6,-73.7,2
1987-07-13,45.4,-73.8,5
1987-07-13,45.4,-73.6,1
1987-07-13,45.4,-73.7,4
1987-07-13,45.5,-73.7,3
1987-07-14,45.6,-73.5,18
1987-07-14,45.6,-73.6,51
1987-07-14,45.5,-73.9,48
1987-07-14,45.5,-73.5,21
1987-07-14,45.4,-74.0,11
1987-07-14,45.6,-73.6,51
1987-07-14,45.7,-73.5,24
1987-07-14,45.4,-73.6,28
1987-07-14,45.5,-73.8,82
1987-07-14,45.4,-73.8,20
1987-07-14,45.4,-73.9,32
1987-07-14,45.5,-73.7,77
1987-07-14,45.4,-73.7,48
1987-07-14,45.5,-73.6,50
1987-07-14,45.6,-73.7,113
1987-07-14,45.4,-73.5,8
1987-07-18,45.5,-73.9,16
1987-07-18,45.6,-73.6,2
1987-07-18,45.5,-73.5,1
1987-07-18,45.4,-73.7,16
1987-07-18,45.4,-73.6,9
1987-07-18,45.6,-73.5,4
1987-07-18,45.5,-73.7,4
1987-07-18,45.6,-73.6,2
1987-07-18,45.6,-73.7,6
1987-07-18,45.4,-74.0,25
1987-07-18,45.4,-73.9,32
1987-07-18,45.5,-73.6,9
1987-07-18,45.4,-73.5,9
1987-07-18,45.4,-73.8,31
1987-07-18,45.5,-73.8,11
1987-07-21,45.4,-73.9,1
1987-07-24,45.6,-73.6,7
1987-07-24,45.4,-73.7,1
1987-07-24,45.5,-73.7,2
1987-07-24,45.6,-73.5,4
1987-07-24,45.5,-73.6,1
1987-07-24,45.4,-73.5,2
1987-07-24,45.7,-73.5,4
1987-07-24,45.4,-73.9,1
1987-07-24,45.6,-73.6,7
1987-07-24,45.5,-73.8,1
1987-07-24,45.4,-74.0,1
1987-07-24,45.6,-73.7,10
1987-07-24,45.4,-73.6,1
1987-07-24,45.5,-73.9,4
1987-07-26,45.4,-74.0,4
1987-07-26,45.5,-73.7,8
1987-07-26,45.4,-73.7,3
1987-07-26,45.4,-73.6,5
1987-07-26,45.6,-73.5,3
1987-07-26,45.7,-73.5,1
1987-07-26,45.4,-73.5,9
1987-07-26,45.6,-73.6,8
1987-07-26,45.4,-73.8,4
1987-07-26,45.5,-73.6,6
1987-07-26,45.5,-73.9,7
1987-07-26,45.5,-73.5,8
1987-07-26,45.6,-73.7,10
1987-07-26,45.4,-73.9,3
1987-07-26,45.6,-73.6,8
1987-07-26,45.5,-73.8,8
1987-08-19,45.5,-73.6,1
1987-08-19,45.4,-73.5,2
