DAY,CENTERLAT,CENTERLON,FCOUNT
2007-03-25,42.3,-83.7,1
2007-03-27,42.3,-83.7,1
2007-04-01,42.3,-83.7,2
2007-05-01,42.3,-83.7,7
2007-05-09,42.3,-83.7,22
2007-05-15,42.3,-83.7,4
2007-05-30,42.3,-83.7,1
2007-06-02,42.3,-83.7,14
2007-06-03,42.3,-83.7,1
2007-06-04,42.3,-83.7,3
2007-06-27,42.3,-83.7,55
2007-07-25,42.3,-83.7,3
2007-07-27,42.3,-83.7,14
2007-08-08,42.3,-83.7,1
2007-08-22,42.3,-83.7,12
2007-08-23,42.3,-83.7,3
2007-08-24,42.3,-83.7,112
2008-02-05,42.3,-83.7,2
2008-04-09,42.3,-83.7,3
2008-05-02,42.3,-83.7,2
2008-06-06,42.3,-83.7,1
2008-06-08,42.3,-83.7,8
2008-06-13,42.3,-83.7,13
2008-06-21,42.3,-83.7,6
2008-06-26,42.3,-83.7,2
2008-06-28,42.3,-83.7,19
2008-07-02,42.3,-83.7,1
2008-07-03,42.3,-83.7,1
2008-07-17,42.3,-83.7,8
2008-08-07,42.3,-83.7,2
2008-09-03,42.3,-83.7,1
2009-02-27,42.3,-83.7,1
2009-03-08,42.3,-83.7,5
2009-03-29,42.3,-83.7,2
2009-04-03,42.3,-83.7,2
2009-04-25,42.3,-83.7,8
2009-04-26,42.3,-83.7,1
2009-05-14,42.3,-83.7,7
2009-05-16,42.3,-83.7,3
2009-05-27,42.3,-83.7,4
2009-06-19,42.3,-83.7,1
2009-06-20,42.3,-83.7,27
2009-06-25,42.3,-83.7,169
2009-07-11,42.3,-83.7,18
2009-07-28,42.3,-83.7,2
2009-08-08,42.3,-83.7,2
2009-09-07,42.3,-83.7,2
2009-09-28,42.3,-83.7,1
2010-04-06,42.3,-83.7,7
2010-04-07,42.3,-83.7,1
2010-05-01,42.3,-83.7,14
2010-05-07,42.3,-83.7,6
2010-05-13,42.3,-83.7,4
2010-05-21,42.3,-83.7,1
2010-05-31,42.3,-83.7,10
2010-06-02,42.3,-83.7,8
2010-06-05,42.3,-83.7,2
2010-06-06,42.3,-83.7,4
2010-06-19,42.3,-83.7,9
2010-06-22,42.3,-83.7,19
2010-06-24,42.3,-83.7,54
2010-06-27,42.3,-83.7,28
2010-07-12,42.3,-83.7,6
2010-07-13,42.3,-83.7,1
2010-07-15,42.3,-83.7,9
2010-07-16,42.3,-83.7,1
2010-07-19,42.3,-83.7,1
2010-07-20,42.3,-83.7,33
2010-07-23,42.3,-83.7,71
2010-07-24,42.3,-83.7,1
2010-07-28,42.3,-83.7,37
2010-08-11,42.3,-83.7,2
2010-09-16,42.3,-83.7,6
2010-09-18,42.3,-83.7,1
2010-09-22,42.3,-83.7,7
2010-11-22,42.3,-83.7,2
2011-02-28,42.3,-83.7,2
2011-03-21,42.3,-83.7,11
2011-04-11,42.3,-83.7,2
2011-04-23,42.3,-83.7,3
2011-05-10,42.3,-83.7,4
2011-05-12,42.3,-83.7,21
2011-05-23,42.3,-83.7,13
2011-05-25,42.3,-83.7,16
2011-05-26,42.3,-83.7,2
2011-05-29,42.3,-83.7,5
2011-07-03,42.3,-83.7,8
2011-07-11,42.3,-83.7,9
2011-07-18,42.3,-83.7,1
2011-07-22,42.3,-83.7,1
2011-07-28,42.3,-83.7,40
2011-07-29,42.3,-83.7,20
2011-08-03,42.3,-83.7,2
2011-08-09,42.3,-83.7,7
2011-08-13,42.3,-83.7,1
2011-08-18,42.3,-83.7,7
2011-08-20,42.3,-83.7,7
2011-08-24,42.3,-83.7,3
2011-08-25,42.3,-83.7,65
2011-09-03,42.3,-83.7,39
2011-09-04,42.3,-83.7,18
2011-09-11,42.3,-83.7,2
2011-10-26,42.3,-83.7,3
2012-01-23,42.3,-83.7,1
2012-03-15,42.3,-83.7,136
2012-03-16,42.3,-83.7,1
2012-03-30,42.3,-83.7,5
2012-04-03,42.3,-83.7,3
2012-04-15,42.3,-83.7,5
2012-04-30,42.3,-83.7,2
2012-05-04,42.3,-83.7,2
2012-05-26,42.3,-83.7,3
2012-06-18,42.3,-83.7,3
2012-07-03,42.3,-83.7,26
2012-07-05,42.3,-83.7,6
2012-07-08,42.3,-83.7,3
2012-07-26,42.3,-83.7,1
2012-07-31,42.3,-83.7,9
2012-08-05,42.3,-83.7,1
2012-09-20,42.3,-83.7,4
2012-10-23,42.3,-83.7,1
2013-01-30,42.3,-83.7,3
2013-04-10,42.3,-83.7,8
2013-04-17,42.3,-83.7,2
2013-04-18,42.3,-83.7,6
2013-05-23,42.3,-83.7,1
2013-05-28,42.3,-83.7,3
2013-05-30,42.3,-83.7,7
2013-05-31,42.3,-83.7,5
2013-06-01,42.3,-83.7,1
2013-06-10,42.3,-83.7,1
2013-06-13,42.3,-83.7,3
2013-06-24,42.3,-83.7,2
2013-06-26,42.3,-83.7,6
