datetime,storm
1998010101,0
1998010102,0
1998010103,0
1998010104,0
1998010105,0
1998010106,0
1998010107,0
1998010108,0
1998010109,0
1998010110,0
1998010111,0
1998010112,0
1998010113,0
1998010114,0
1998010115,0
1998010116,0
1998010117,0
1998010118,0
1998010119,0
1998010120,0
1998010121,0
1998010122,0
1998010123,0
1998010124,0
1998010201,0
1998010202,0
1998010203,0
1998010204,0
1998010205,0
1998010206,0
1998010207,0
1998010208,0
1998010209,0
1998010210,0
1998010211,0
1998010212,0
1998010213,0
1998010214,0
1998010215,0
1998010216,0
1998010217,0
1998010218,0
1998010219,0
1998010220,0
1998010221,0
1998010222,0
1998010223,0
1998010224,0
1998010301,0
1998010302,0
1998010303,0
1998010304,0
1998010305,0
1998010306,0
1998010307,0
1998010308,0
1998010309,0
1998010310,0
1998010311,0
1998010312,0
1998010313,0
1998010314,0
1998010315,0
1998010316,0
1998010317,0
1998010318,0
1998010319,0
1998010320,0
1998010321,0
1998010322,0
1998010323,0
1998010324,0
1998010401,0
1998010402,0
1998010403,0
1998010404,0
1998010405,0
1998010406,0
1998010407,0
1998010408,0
1998010409,0
1998010410,0
1998010411,0
1998010412,0
1998010413,0
1998010414,0
1998010415,0
1998010416,0
1998010417,0
1998010418,0
1998010419,0
1998010420,0
1998010421,0
1998010422,0
1998010423,9
1998010424,0
1998010501,0
1998010502,0
1998010503,0
1998010504,0
1998010505,0
1998010506,0
1998010507,0
1998010508,0
1998010509,0
1998010510,0
1998010511,0
1998010512,0
1998010513,0
1998010514,0
1998010515,0
1998010516,0
1998010517,0
1998010518,0
1998010519,0
1998010520,0
1998010521,0
1998010522,0
1998010523,0
1998010524,0
1998010601,0
1998010602,0
1998010603,0
1998010604,0
1998010605,0
1998010606,0
1998010607,0
1998010608,0
1998010609,0
1998010610,0
1998010611,0
1998010612,0
1998010613,0
1998010614,0
1998010615,0
1998010616,0
1998010617,0
1998010618,0
1998010619,0
1998010620,0
1998010621,0
1998010622,0
1998010623,0
1998010624,0
1998010701,0
1998010702,0
1998010703,0
1998010704,0
1998010705,0
1998010706,0
1998010707,0
1998010708,0
1998010709,0
1998010710,0
1998010711,0
1998010712,0
1998010713,0
1998010714,0
1998010715,0
1998010716,0
1998010717,0
1998010718,0
1998010719,0
1998010720,0
1998010721,0
1998010722,0
1998010723,0
1998010724,0
1998010801,0
1998010802,0
1998010803,0
1998010804,0
1998010805,0
1998010806,0
1998010807,0
1998010808,0
1998010809,0
1998010810,0
1998010811,0
1998010812,0
1998010813,0
1998010814,0
1998010815,0
1998010816,0
1998010817,0
1998010818,0
1998010819,0
1998010820,0
1998010821,0
1998010822,0
1998010823,0
1998010824,0
1998010901,0
1998010902,0
1998010903,0
1998010904,0
1998010905,0
1998010906,0
1998010907,0
1998010908,0
1998010909,0
1998010910,0
1998010911,0
1998010912,0
1998010913,0
1998010914,0
1998010915,0
1998010916,0
1998010917,0
1998010918,0
1998010919,0
1998010920,0
1998010921,0
1998010922,0
